time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1684473786.87837601,0.02720457,1413,0.00180700,0.00000000,0,0.00000000,6769,6826,138,0.00040029
1684473786.97847223,0.02122006,1403,0.00119218,0.00000000,0,0.00000000,6826,6843,152,0.00040336
1684473787.07834411,0.01828419,1411,0.00060586,0.00000000,0,0.00000000,6843,6921,111,0.00048606
1684473787.17842627,0.02814069,1415,0.00191132,0.00000000,0,0.00000000,6921,6935,167,0.00041283
1684473787.27921605,0.01775958,1408,0.00083107,0.00000000,0,0.00000000,6637,6680,124,0.00044754
1684473787.37863302,0.02398593,1394,0.00116166,0.00000000,0,0.00000000,6680,6691,116,0.00038375
1684473787.47828293,0.01979752,1451,0.00071607,0.00000000,0,0.00000000,6691,6746,117,0.00047569
1684473787.57844925,0.02368138,1428,0.00069876,0.00000000,0,0.00000000,6746,6807,103,0.00056300
1684473787.67832780,0.01976444,1409,0.00050420,0.00000000,0,0.00000000,6807,6831,83,0.00045941
1684473787.77812529,0.02129239,1446,0.00077669,0.00000000,0,0.00000000,6831,6922,135,0.00042880
1684473787.87834549,0.02287344,1411,0.00080743,0.00000000,0,0.00000000,6922,6992,108,0.00044604
1684473787.97826457,0.01953638,1423,0.00081383,0.00000000,0,0.00000000,6992,7054,110,0.00052605
1684473788.07814169,0.02087478,1442,0.00072621,0.00000000,0,0.00000000,7054,7110,110,0.00044127
1684473788.17827177,0.02240545,1405,0.00060279,0.00000000,0,0.00000000,7110,7148,97,0.00052390
1684473788.27813983,0.02500485,1417,0.00099896,0.00000000,0,0.00000000,7148,7235,145,0.00042502
1684473788.37823772,0.02442205,1417,0.00077848,0.00000000,0,0.00000000,7235,7323,132,0.00037477
1684473788.48062849,0.02306055,1423,0.00056619,0.00000000,0,0.00000000,7323,7349,83,0.00045346
1684473788.57803345,0.01835543,1418,0.00077627,0.00000000,0,0.00000000,7349,7371,108,0.00056715
1684473788.67952466,0.01906299,1432,0.00083670,0.00000000,0,0.00000000,7371,7397,102,0.00053235
1684473788.77803969,0.02006492,1396,0.00069179,0.00000000,0,0.00000000,7397,7401,93,0.00060199
1684473788.87831545,0.02125118,1415,0.00069051,0.00000000,0,0.00000000,7401,7480,120,0.00057611
1684473788.97784662,0.02000298,1445,0.00084585,0.00000000,0,0.00000000,7480,7471,114,0.00037285
1684473789.07799840,0.02274995,1386,0.00069918,0.00000000,0,0.00000000,7471,7494,102,0.00038596
1684473789.17826509,0.01864587,1408,0.00089256,0.00000000,0,0.00000000,7494,7539,135,0.00048542
1684473789.27777243,0.01967035,1432,0.00107673,0.00000000,0,0.00000000,7539,7561,95,0.00055529
1684473789.37937903,0.01790356,1377,0.00096038,0.00000000,0,0.00000000,7561,7506,89,0.00040276
1684473789.47532678,0.02304256,1446,0.00049182,0.00000000,0,0.00000000,7506,7539,76,0.00053689
1684473789.57765245,0.01845962,1398,0.00073673,0.00000000,0,0.00000000,7539,7535,89,0.00054770
1684473789.68061519,0.02338096,1435,0.00061165,0.00000000,0,0.00000000,7535,7557,83,0.00040298
1684473789.77762961,0.02403756,1420,0.00067464,0.00000000,0,0.00000000,7557,7602,83,0.00039178
1684473789.87756109,0.01890150,1415,0.00082800,0.00000000,0,0.00000000,7602,7644,100,0.00053865
1684473789.97762942,0.01863163,1406,0.00081754,0.00000000,0,0.00000000,7644,7645,97,0.00039287
1684473790.07754660,0.01715240,1423,0.00061677,0.00000000,0,0.00000000,7645,7700,95,0.00055317
1684473790.17767620,0.02187818,1409,0.00041811,0.00000000,0,0.00000000,7700,7754,70,0.00055852
1684473790.27762222,0.01917856,1419,0.00054406,0.00000000,0,0.00000000,7754,7807,70,0.00038055
1684473790.37763858,0.02271207,1437,0.00070756,0.00000000,0,0.00000000,7807,7812,93,0.00039015
1684473790.47821665,0.02299883,1400,0.00049118,0.00000000,0,0.00000000,7812,7865,85,0.00037902
1684473790.57762790,0.02352254,1418,0.00058766,0.00000000,0,0.00000000,7865,7920,83,0.00055205
1684473790.67751050,0.02889942,1421,0.00047969,0.00000000,0,0.00000000,7920,7946,52,0.00037640
1684473790.77800632,0.02316236,1395,0.00083629,0.00000000,0,0.00000000,7946,7944,95,0.00050356
1684473790.87756038,0.02130917,1417,0.00049703,0.00000000,0,0.00000000,7944,7969,67,0.00053302
1684473790.97905302,0.02178077,1434,0.00056133,0.00000000,0,0.00000000,7969,8001,89,0.00056530
1684473791.07793260,0.02361915,1408,0.00098555,0.00000000,0,0.00000000,8001,7925,81,0.00059617
1684473791.17806578,0.02498958,1413,0.00063126,0.00000000,0,0.00000000,7925,7943,71,0.00057806
1684473791.27793550,0.02226229,1440,0.00059771,0.00000000,0,0.00000000,7943,7934,80,0.00047531
1684473791.37804961,0.02271843,1393,0.00067992,0.00000000,0,0.00000000,7934,7943,68,0.00044697
1684473791.47796941,0.02250931,1402,0.00048935,0.00000000,0,0.00000000,7943,7997,83,0.00055509
1684473791.57877707,0.02138460,1415,0.00077832,0.00000000,0,0.00000000,7997,7994,94,0.00056079
1684473791.67794800,0.02651826,1430,0.00038862,0.00000000,0,0.00000000,7994,8025,60,0.00038129
1684473791.77882242,0.02220249,1408,0.00060286,0.00000000,0,0.00000000,8025,8051,78,0.00042924
1684473791.87868237,0.02075136,1415,0.00101380,0.00000000,0,0.00000000,8051,7949,87,0.00051776
1684473791.97780967,0.02369394,1424,0.00067122,0.00000000,0,0.00000000,7949,7981,80,0.00054137
1684473792.07867670,0.02929011,1407,0.00061770,0.00000000,0,0.00000000,7981,7980,84,0.00053264
1684473792.17858911,0.02028292,1397,0.00058123,0.00000000,0,0.00000000,7980,8000,73,0.00047531
1684473792.27736378,0.02540717,1453,0.00108396,0.00000000,0,0.00000000,8000,7901,83,0.00063171
1684473792.37881565,0.02132894,1420,0.00048753,0.00000000,0,0.00000000,7901,7940,70,0.00039406
1684473792.47779298,0.02254079,1401,0.00037269,0.00000000,0,0.00000000,7940,8000,69,0.00054738
1684473792.57762623,0.02278484,1424,0.00060238,0.00000000,0,0.00000000,8000,8012,79,0.00039146
1684473792.67852569,0.02233480,1423,0.00043887,0.00000000,0,0.00000000,8012,8050,62,0.00054476
1684473792.77842069,0.01885929,1385,0.00048251,0.00000000,0,0.00000000,8050,8043,64,0.00049585
1684473792.87915254,0.02150293,1426,0.00047896,0.00000000,0,0.00000000,8043,8053,55,0.00039287
1684473792.97838283,0.02388683,1425,0.00062109,0.00000000,0,0.00000000,8053,8078,64,0.00047589
1684473793.07847428,0.02364665,1411,0.00047611,0.00000000,0,0.00000000,8078,8096,76,0.00042953
1684473793.17838883,0.01994811,1410,0.00038068,0.00000000,0,0.00000000,8096,8135,62,0.00039866
1684473793.27834129,0.01893300,1415,0.00103882,0.00000000,0,0.00000000,8135,8062,56,0.00053500
1684473793.37840533,0.02495751,1436,0.00092915,0.00000000,0,0.00000000,8062,8062,64,0.00039485
1684473793.47822309,0.01745512,1404,0.00029114,0.00000000,0,0.00000000,8062,8089,50,0.00038046
1684473793.57839155,0.02292950,1402,0.00048593,0.00000000,0,0.00000000,8089,8112,67,0.00053001
1684473793.67826319,0.02261715,1425,0.00037160,0.00000000,0,0.00000000,8112,8151,62,0.00052269
1684473793.77835894,0.02236471,1384,0.00037985,0.00000000,0,0.00000000,8151,8183,61,0.00043993
1684473793.87830377,0.02138124,1414,0.00030880,0.00000000,0,0.00000000,8183,8226,51,0.00043945
1684473793.97817016,0.02053481,1431,0.00031833,0.00000000,0,0.00000000,8226,8260,53,0.00051245
1684473794.07825732,0.02477414,1395,0.00069761,0.00000000,0,0.00000000,8260,8259,77,0.00052752
1684473794.17817545,0.02177388,1397,0.00049767,0.00000000,0,0.00000000,8259,8240,55,0.00055426
1684473794.27806163,0.02314853,1426,0.00058817,0.00000000,0,0.00000000,8240,8278,65,0.00051645
1684473794.37814641,0.02610257,1390,0.00037784,0.00000000,0,0.00000000,8278,8261,46,0.00044063
1684473794.47800636,0.02215373,1398,0.00033660,0.00000000,0,0.00000000,8261,8290,51,0.00052346
1684473794.57802343,0.02085452,1409,0.00036101,0.00000000,0,0.00000000,8290,8329,62,0.00045061
1684473794.67805290,0.02290384,1402,0.00048436,0.00000000,0,0.00000000,8329,8331,55,0.00051949
1684473794.77798724,0.02267703,1421,0.00036856,0.00000000,0,0.00000000,8331,8350,58,0.00054873
1684473794.87787485,0.02151371,1440,0.00047253,0.00000000,0,0.00000000,8350,8361,70,0.00057314
1684473794.97795773,0.02229218,1403,0.00041539,0.00000000,0,0.00000000,8361,8380,56,0.00057752
1684473795.07786846,0.01966595,1416,0.00053168,0.00000000,0,0.00000000,8380,8392,69,0.00053472
1684473795.18186903,0.02369188,1411,0.00051856,0.00000000,0,0.00000000,8392,8361,51,0.00040963
1684473795.27783990,0.02178834,1386,0.00032953,0.00000000,0,0.00000000,8361,8387,50,0.00053788
1684473795.37777233,0.02193226,1432,0.00049332,0.00000000,0,0.00000000,8387,8445,75,0.00051635
1684473795.47786260,0.02214340,1422,0.00044146,0.00000000,0,0.00000000,8445,8486,54,0.00042560
1684473795.57774901,0.02377800,1393,0.00032102,0.00000000,0,0.00000000,8486,8533,58,0.00047659
1684473795.67765856,0.01976998,1435,0.00039501,0.00000000,0,0.00000000,8533,8586,69,0.00052835
1684473795.77754498,0.02167461,1422,0.00051971,0.00000000,0,0.00000000,8586,8530,52,0.00057230
1684473795.87764406,0.02229944,1414,0.00035426,0.00000000,0,0.00000000,8530,8566,52,0.00054988
1684473795.97757983,0.02054824,1455,0.00049230,0.00000000,0,0.00000000,8566,8547,62,0.00039677
1684473796.07766795,0.02242260,1415,0.00028586,0.00000000,0,0.00000000,8547,8577,46,0.00039287
1684473796.17754292,0.01736333,1422,0.00028289,0.00000000,0,0.00000000,8577,8591,44,0.00053040
1684473796.27748108,0.02225792,1466,0.00030144,0.00000000,0,0.00000000,8591,8607,41,0.00055564
1684473796.37756872,0.02118890,1406,0.00042985,0.00000000,0,0.00000000,8607,8597,45,0.00057403
1684473796.47814655,0.02288262,1414,0.00047797,0.00000000,0,0.00000000,8597,8620,65,0.00051914
1684473796.57760215,0.01971480,1433,0.00041005,0.00000000,0,0.00000000,8620,8646,63,0.00056799
1684473796.67805552,0.02014343,1410,0.00036226,0.00000000,0,0.00000000,8646,8678,54,0.00060388
1684473796.77803278,0.01957225,1417,0.00034805,0.00000000,0,0.00000000,8678,8697,49,0.00054786
1684473796.87795973,0.02045079,1441,0.00054646,0.00000000,0,0.00000000,8697,8667,51,0.00053699
1684473796.97795653,0.02189966,1412,0.00033439,0.00000000,0,0.00000000,8667,8696,52,0.00042576
1684473797.07806373,0.02371516,1421,0.00053852,0.00000000,0,0.00000000,8696,8679,67,0.00048088
1684473797.17800140,0.02356430,1416,0.00033906,0.00000000,0,0.00000000,8679,8685,46,0.00044278
1684473797.27880478,0.02427320,1407,0.00046363,0.00000000,0,0.00000000,8685,8710,61,0.00057630
1684473797.37800550,0.02296624,1446,0.00040810,0.00000000,0,0.00000000,8710,8707,52,0.00061946
1684473797.47885323,0.02394412,1416,0.00020794,0.00000000,0,0.00000000,8707,8736,36,0.00060199
1684473797.57873821,0.02341769,1406,0.00033212,0.00000000,0,0.00000000,8736,8785,57,0.00054361
1684473797.67786980,0.02310997,1422,0.00037013,0.00000000,0,0.00000000,8785,8834,59,0.00054015
1684473797.77875328,0.02196744,1413,0.00030982,0.00000000,0,0.00000000,8834,8817,35,0.00056111
1684473797.87865520,0.01988460,1417,0.00044869,0.00000000,0,0.00000000,8817,8807,54,0.00052669
1684473797.97779083,0.01987311,1441,0.00043417,0.00000000,0,0.00000000,8807,8847,63,0.00054994
1684473798.07859921,0.02454006,1410,0.00311811,0.00000000,0,0.00000000,8847,8835,49,0.00053456
1684473798.17781425,0.02425979,1419,0.00052163,0.00000000,0,0.00000000,8835,8850,58,0.00054127
1684473798.27768683,0.02131312,1429,0.00026904,0.00000000,0,0.00000000,8850,8862,32,0.00049342
1684473798.37854767,0.02619657,1392,0.00049546,0.00000000,0,0.00000000,8862,8865,57,0.00038209
1684473798.47773409,0.02043096,1409,0.00029050,0.00000000,0,0.00000000,8865,8909,50,0.00053030
1684473798.57759738,0.02154527,1434,0.00028116,0.00000000,0,0.00000000,8909,8919,39,0.00054949
1684473798.67842937,0.02123970,1385,0.00018871,0.00000000,0,0.00000000,8919,8935,22,0.00044006
